"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","16,150.0","16,600.0","16,700.0","16,100.0","22.35M","-2.71%"
"10/03/2022","16,600.0","17,000.0","17,150.0","16,600.0","13.86M","-0.90%"
"09/03/2022","16,750.0","17,300.0","17,400.0","16,750.0","18.67M","-2.62%"
"08/03/2022","17,200.0","17,000.0","17,500.0","16,900.0","18.37M","0.88%"
"07/03/2022","17,050.0","17,200.0","17,200.0","16,900.0","20.15M","-1.45%"
"04/03/2022","17,300.0","17,200.0","17,600.0","17,150.0","15.77M","0.58%"
"03/03/2022","17,200.0","17,450.0","17,650.0","17,100.0","18.77M","-1.43%"
"02/03/2022","17,450.0","17,450.0","17,900.0","17,250.0","13.38M","0.00%"
"01/03/2022","17,450.0","17,250.0","17,700.0","16,850.0","26.54M","0.58%"
"28/02/2022","17,350.0","17,850.0","18,000.0","17,300.0","28.35M","-2.80%"
"25/02/2022","17,850.0","18,000.0","18,150.0","17,750.0","12.07M","0.56%"
"24/02/2022","17,750.0","18,200.0","18,400.0","17,350.0","23.98M","-2.20%"
"23/02/2022","18,150.0","17,950.0","18,600.0","17,900.0","16.99M","1.97%"
"22/02/2022","17,800.0","18,200.0","18,250.0","17,500.0","37.12M","-3.26%"
"21/02/2022","18,400.0","18,550.0","18,700.0","18,350.0","18.52M","-0.81%"
"18/02/2022","18,550.0","18,400.0","18,800.0","18,300.0","18.70M","-0.27%"
"17/02/2022","18,600.0","18,400.0","18,950.0","18,150.0","34.27M","2.20%"
"16/02/2022","18,200.0","18,400.0","18,600.0","18,100.0","14.32M","0.55%"
"15/02/2022","18,100.0","17,700.0","18,150.0","17,300.0","18.58M","2.26%"
"14/02/2022","17,700.0","17,900.0","18,350.0","17,700.0","18.91M","-3.28%"
"11/02/2022","18,300.0","18,500.0","18,700.0","18,100.0","14.83M","-1.35%"
"10/02/2022","18,550.0","17,850.0","18,800.0","17,850.0","30.75M","4.21%"
"09/02/2022","17,800.0","17,900.0","18,150.0","17,700.0","12.51M","-0.56%"
"08/02/2022","17,900.0","17,800.0","18,150.0","17,550.0","18.41M","0.28%"
"07/02/2022","17,850.0","17,000.0","17,950.0","16,900.0","21.66M","6.25%"
"28/01/2022","16,800.0","16,400.0","16,950.0","16,200.0","13.68M","2.44%"
"27/01/2022","16,400.0","16,300.0","16,400.0","16,000.0","7.88M","0.61%"
"26/01/2022","16,300.0","16,800.0","16,850.0","16,300.0","10.70M","-1.51%"
"25/01/2022","16,550.0","15,100.0","16,550.0","15,100.0","14.58M","6.77%"
"24/01/2022","15,500.0","16,500.0","16,500.0","15,500.0","19.10M","-6.91%"
"21/01/2022","16,650.0","17,000.0","17,150.0","16,600.0","15.08M","-2.06%"
"20/01/2022","17,000.0","16,100.0","17,100.0","15,800.0","13.11M","5.92%"
"19/01/2022","16,050.0","15,600.0","16,100.0","15,500.0","14.80M","4.22%"
"18/01/2022","15,400.0","15,800.0","16,400.0","15,350.0","27.32M","-6.67%"
"17/01/2022","16,500.0","17,700.0","17,700.0","16,500.0","31.33M","-6.78%"
"14/01/2022","17,700.0","16,500.0","17,800.0","16,500.0","21.84M","4.73%"
"13/01/2022","16,900.0","18,150.0","18,650.0","16,900.0","39.29M","-6.89%"
"12/01/2022","18,150.0","18,650.0","19,200.0","17,350.0","42.98M","-2.68%"
"11/01/2022","18,650.0","19,000.0","19,400.0","18,450.0","32.27M","-0.53%"
"10/01/2022","18,750.0","20,500.0","20,800.0","18,750.0","31.60M","-6.95%"
"07/01/2022","20,150.0","19,250.0","20,350.0","19,250.0","32.88M","4.68%"
"06/01/2022","19,250.0","18,850.0","19,800.0","18,850.0","27.00M","1.32%"
"05/01/2022","19,000.0","19,200.0","19,950.0","19,000.0","38.79M","1.60%"
"04/01/2022","18,700.0","17,700.0","18,700.0","17,700.0","20.44M","6.86%"
