"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","27,210.0","26,800.0","27,400.0","26,800.0","2.94M","0.96%"
"10/03/2022","26,950.0","27,550.0","27,550.0","26,950.0","4.01M","-0.19%"
"09/03/2022","27,000.0","27,300.0","27,500.0","27,000.0","4.31M","-1.28%"
"08/03/2022","27,350.0","27,400.0","27,600.0","27,300.0","4.82M","-0.18%"
"07/03/2022","27,400.0","27,700.0","27,700.0","27,150.0","7.00M","-2.14%"
"04/03/2022","28,000.0","28,500.0","28,500.0","28,000.0","3.67M","-0.88%"
"03/03/2022","28,250.0","27,700.0","28,250.0","27,300.0","4.10M","3.29%"
"02/03/2022","27,350.0","28,250.0","28,400.0","27,300.0","11.48M","-4.20%"
"01/03/2022","28,550.0","28,800.0","28,900.0","28,350.0","6.80M","-0.87%"
"28/02/2022","28,800.0","29,300.0","29,350.0","28,650.0","4.81M","-1.54%"
"25/02/2022","29,250.0","29,200.0","29,550.0","29,100.0","4.05M","1.56%"
"24/02/2022","28,800.0","29,500.0","29,550.0","28,000.0","14.82M","-2.87%"
"23/02/2022","29,650.0","29,600.0","29,900.0","29,500.0","4.83M","0.34%"
"22/02/2022","29,550.0","29,150.0","29,650.0","28,950.0","4.65M","-0.17%"
"21/02/2022","29,600.0","29,300.0","29,650.0","28,850.0","6.17M","0.34%"
"18/02/2022","29,500.0","29,400.0","29,600.0","29,200.0","3.74M","-0.84%"
"17/02/2022","29,750.0","29,400.0","29,750.0","29,200.0","3.13M","1.71%"
"16/02/2022","29,250.0","29,800.0","29,850.0","29,100.0","4.30M","-0.85%"
"15/02/2022","29,500.0","29,200.0","29,700.0","28,850.0","5.54M","1.03%"
"14/02/2022","29,200.0","30,500.0","30,800.0","29,200.0","15.85M","-6.41%"
"11/02/2022","31,200.0","31,400.0","31,650.0","31,100.0","4.09M","-0.95%"
"10/02/2022","31,500.0","31,300.0","31,650.0","30,950.0","5.83M","-0.32%"
"09/02/2022","31,600.0","31,700.0","32,500.0","31,500.0","7.76M","0.64%"
"08/02/2022","31,400.0","31,150.0","31,800.0","30,900.0","5.77M","0.96%"
"07/02/2022","31,100.0","31,400.0","31,900.0","31,100.0","5.64M","0.65%"
"28/01/2022","30,900.0","30,900.0","31,300.0","30,750.0","4.43M","0.32%"
"27/01/2022","30,800.0","30,700.0","31,500.0","30,500.0","4.98M","0.33%"
"26/01/2022","30,700.0","30,400.0","31,500.0","30,100.0","8.12M","2.16%"
"25/01/2022","30,050.0","29,000.0","30,050.0","28,950.0","4.31M","3.62%"
"24/01/2022","29,000.0","29,200.0","29,800.0","28,700.0","4.63M","-0.68%"
"21/01/2022","29,200.0","29,000.0","30,000.0","28,800.0","4.00M","1.04%"
"20/01/2022","28,900.0","28,700.0","29,450.0","28,400.0","4.22M","-0.17%"
"19/01/2022","28,950.0","29,550.0","29,800.0","28,700.0","3.13M","-2.03%"
"18/01/2022","29,550.0","29,250.0","29,900.0","28,500.0","4.77M","1.90%"
"17/01/2022","29,000.0","30,800.0","31,500.0","29,000.0","7.55M","-5.23%"
"14/01/2022","30,600.0","30,300.0","31,000.0","30,200.0","2.69M","-0.65%"
"13/01/2022","30,800.0","31,300.0","32,500.0","30,800.0","10.39M","-0.48%"
"12/01/2022","30,950.0","29,200.0","31,200.0","29,000.0","5.58M","5.63%"
"11/01/2022","29,300.0","29,500.0","30,000.0","29,000.0","4.73M","-1.01%"
"10/01/2022","29,600.0","30,100.0","30,600.0","29,600.0","5.77M","-2.31%"
"07/01/2022","30,300.0","30,500.0","30,850.0","30,250.0","4.10M","-0.66%"
"06/01/2022","30,500.0","30,100.0","31,050.0","29,950.0","6.76M","0.00%"
"05/01/2022","30,500.0","31,000.0","31,250.0","30,500.0","6.55M","-1.93%"
"04/01/2022","31,100.0","31,150.0","31,750.0","31,000.0","6.81M","0.81%"
