"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","32,050.0","31,950.0","32,400.0","31,100.0","15.99M","1.58%"
"10/03/2022","31,550.0","31,750.0","32,000.0","31,550.0","12.22M","1.45%"
"09/03/2022","31,100.0","31,000.0","31,300.0","30,500.0","14.91M","0.81%"
"08/03/2022","30,850.0","31,050.0","31,650.0","30,650.0","16.48M","-2.06%"
"07/03/2022","31,500.0","31,200.0","32,000.0","31,200.0","16.73M","-1.56%"
"04/03/2022","32,000.0","31,850.0","32,550.0","31,500.0","13.26M","0.47%"
"03/03/2022","31,850.0","31,550.0","31,900.0","31,100.0","19.79M","1.92%"
"02/03/2022","31,250.0","32,500.0","32,550.0","31,100.0","45.28M","-4.29%"
"01/03/2022","32,650.0","33,000.0","33,000.0","32,650.0","16.92M","-0.61%"
"28/02/2022","32,850.0","33,000.0","33,350.0","32,800.0","16.46M","-0.45%"
"25/02/2022","33,000.0","33,100.0","33,550.0","32,900.0","17.79M","0.30%"
"24/02/2022","32,900.0","33,400.0","33,700.0","32,000.0","30.48M","-2.08%"
"23/02/2022","33,600.0","33,900.0","33,950.0","33,600.0","13.87M","-0.30%"
"22/02/2022","33,700.0","32,900.0","33,700.0","32,800.0","24.42M","1.51%"
"21/02/2022","33,200.0","33,350.0","33,550.0","32,800.0","21.15M","-0.45%"
"18/02/2022","33,350.0","33,600.0","33,800.0","33,200.0","18.49M","-1.62%"
"17/02/2022","33,900.0","33,600.0","34,250.0","33,450.0","15.74M","0.89%"
"16/02/2022","33,600.0","33,750.0","34,100.0","33,100.0","20.06M","0.30%"
"15/02/2022","33,500.0","33,100.0","33,900.0","32,700.0","31.17M","1.98%"
"14/02/2022","32,850.0","34,850.0","35,000.0","32,850.0","37.42M","-6.94%"
"11/02/2022","35,300.0","34,750.0","35,350.0","34,450.0","18.45M","1.58%"
"10/02/2022","34,750.0","35,000.0","35,250.0","34,200.0","33.96M","-0.86%"
"09/02/2022","35,050.0","36,000.0","36,700.0","35,000.0","32.93M","-2.23%"
"08/02/2022","35,850.0","35,350.0","36,200.0","35,350.0","18.82M","0.70%"
"07/02/2022","35,600.0","36,000.0","36,300.0","35,450.0","18.65M","0.14%"
"28/01/2022","35,550.0","35,200.0","36,200.0","35,200.0","22.21M","0.42%"
"27/01/2022","35,400.0","35,300.0","35,950.0","34,750.0","23.70M","-0.42%"
"26/01/2022","35,550.0","35,000.0","36,500.0","34,800.0","48.91M","2.45%"
"25/01/2022","34,700.0","33,100.0","34,800.0","33,000.0","24.09M","4.20%"
"24/01/2022","33,300.0","34,400.0","34,950.0","33,000.0","30.19M","-3.76%"
"21/01/2022","34,600.0","33,600.0","35,250.0","33,350.0","39.14M","2.37%"
"20/01/2022","33,800.0","32,600.0","33,900.0","31,800.0","30.98M","2.74%"
"19/01/2022","32,900.0","34,300.0","34,400.0","32,700.0","20.80M","-2.95%"
"18/01/2022","33,900.0","32,600.0","34,500.0","32,550.0","39.68M","3.99%"
"17/01/2022","32,600.0","35,500.0","35,600.0","32,600.0","44.37M","-6.86%"
"14/01/2022","35,000.0","33,800.0","35,450.0","33,750.0","26.70M","2.04%"
"13/01/2022","34,300.0","35,400.0","36,200.0","34,300.0","43.95M","-1.15%"
"12/01/2022","34,700.0","32,500.0","34,700.0","31,650.0","62.42M","6.93%"
"11/01/2022","32,450.0","31,800.0","33,300.0","31,700.0","29.60M","2.69%"
"10/01/2022","31,600.0","31,950.0","32,950.0","31,150.0","28.38M","-1.10%"
"07/01/2022","31,950.0","32,700.0","32,950.0","31,950.0","28.17M","-2.29%"
"06/01/2022","32,700.0","32,500.0","33,900.0","32,400.0","38.54M","0.46%"
"05/01/2022","32,550.0","31,900.0","32,800.0","31,700.0","36.94M","1.40%"
"04/01/2022","32,100.0","32,000.0","32,850.0","31,700.0","32.86M","1.90%"
