"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","101,200.0","94,600.0","101,200.0","92,700.0","1.14M","6.98%"
"10/03/2022","94,600.0","96,300.0","96,300.0","94,600.0","778.70K","-0.94%"
"09/03/2022","95,500.0","94,600.0","96,500.0","94,600.0","2.20M","0.74%"
"08/03/2022","94,800.0","93,800.0","95,400.0","92,600.0","2.23M","1.07%"
"07/03/2022","93,800.0","93,100.0","93,900.0","92,200.0","1.70M","0.32%"
"04/03/2022","93,500.0","93,300.0","93,800.0","93,000.0","1.34M","0.11%"
"03/03/2022","93,400.0","93,200.0","94,000.0","93,200.0","957.60K","0.32%"
"02/03/2022","93,100.0","93,000.0","93,400.0","92,700.0","1.09M","-0.32%"
"01/03/2022","93,400.0","94,000.0","94,000.0","92,500.0","1.10M","0.11%"
"28/02/2022","93,300.0","92,300.0","93,500.0","92,300.0","1.50M","1.08%"
"25/02/2022","92,300.0","92,400.0","93,400.0","92,100.0","1.06M","0.33%"
"24/02/2022","92,000.0","93,000.0","93,500.0","90,000.0","1.35M","-1.08%"
"23/02/2022","93,000.0","92,600.0","93,900.0","92,600.0","973.80K","0.11%"
"22/02/2022","92,900.0","93,000.0","93,300.0","92,000.0","1.16M","-0.64%"
"21/02/2022","93,500.0","92,200.0","94,000.0","92,000.0","1.39M","1.41%"
"18/02/2022","92,200.0","92,300.0","92,500.0","91,700.0","618.80K","-0.65%"
"17/02/2022","92,800.0","91,900.0","92,800.0","91,000.0","853.70K","1.64%"
"16/02/2022","91,300.0","91,700.0","92,500.0","91,300.0","614.20K","0.22%"
"15/02/2022","91,100.0","91,000.0","91,700.0","90,500.0","655.40K","0.11%"
"14/02/2022","91,000.0","91,000.0","91,600.0","90,400.0","774.10K","-0.66%"
"11/02/2022","91,600.0","91,800.0","92,400.0","91,400.0","641.60K","-0.43%"
"10/02/2022","92,000.0","91,400.0","92,000.0","90,200.0","974.90K","1.43%"
"09/02/2022","90,700.0","91,700.0","91,700.0","90,600.0","1.14M","0.11%"
"08/02/2022","90,600.0","89,500.0","91,800.0","89,500.0","845.10K","1.23%"
"07/02/2022","89,500.0","90,000.0","90,100.0","89,000.0","518.40K","0.00%"
"28/01/2022","89,500.0","86,000.0","89,500.0","85,900.0","1.55M","4.19%"
"27/01/2022","85,900.0","86,000.0","86,700.0","85,400.0","719.60K","-0.12%"
"26/01/2022","86,000.0","87,000.0","87,000.0","85,500.0","913.60K","-0.58%"
"25/01/2022","86,500.0","85,200.0","87,500.0","84,000.0","1.19M","1.41%"
"24/01/2022","85,300.0","88,200.0","88,500.0","85,000.0","2.02M","-3.29%"
"21/01/2022","88,200.0","89,000.0","89,800.0","88,200.0","841.20K","-0.68%"
"20/01/2022","88,800.0","88,400.0","91,000.0","88,300.0","1.33M","0.57%"
"19/01/2022","88,300.0","88,100.0","89,200.0","88,000.0","744.90K","0.23%"
"18/01/2022","88,100.0","88,300.0","89,600.0","88,000.0","1.21M","-1.01%"
"17/01/2022","89,000.0","90,500.0","91,300.0","89,000.0","1.57M","-2.52%"
"14/01/2022","91,300.0","91,700.0","92,100.0","90,900.0","686.70K","-0.87%"
"13/01/2022","92,100.0","90,900.0","92,700.0","89,800.0","1.81M","2.79%"
"12/01/2022","89,600.0","89,100.0","90,600.0","88,500.0","1.74M","0.11%"
"11/01/2022","89,500.0","92,000.0","92,200.0","89,100.0","2.51M","-2.72%"
"10/01/2022","92,000.0","93,200.0","93,500.0","91,900.0","1.88M","-1.50%"
"07/01/2022","93,400.0","93,100.0","93,700.0","93,100.0","1.02M","-0.11%"
"06/01/2022","93,500.0","93,600.0","94,000.0","93,500.0","1.19M","-0.11%"
"05/01/2022","93,600.0","93,700.0","94,200.0","93,500.0","1.19M","0.11%"
"04/01/2022","93,500.0","93,400.0","94,200.0","93,300.0","1.94M","0.54%"
