"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/03/2022","47,600.0","50,000.0","50,000.0","46,950.0","44.34M","-3.15%"
"10/03/2022","49,150.0","50,000.0","50,100.0","49,100.0","26.83M","-1.40%"
"09/03/2022","49,850.0","50,000.0","50,300.0","48,850.0","34.78M","0.81%"
"08/03/2022","49,450.0","50,600.0","51,200.0","49,450.0","40.51M","-3.23%"
"07/03/2022","51,100.0","50,200.0","52,500.0","50,000.0","38.46M","2.61%"
"04/03/2022","49,800.0","51,000.0","51,300.0","49,800.0","33.38M","-0.60%"
"03/03/2022","50,100.0","47,600.0","50,100.0","47,300.0","76.24M","6.82%"
"02/03/2022","46,900.0","47,000.0","47,350.0","46,600.0","19.90M","0.00%"
"01/03/2022","46,900.0","47,700.0","48,100.0","46,850.0","23.37M","-0.64%"
"28/02/2022","47,200.0","46,050.0","47,800.0","46,050.0","35.20M","2.83%"
"25/02/2022","45,900.0","46,100.0","46,350.0","45,900.0","12.78M","-0.22%"
"24/02/2022","46,000.0","46,750.0","46,850.0","45,100.0","22.45M","-1.50%"
"23/02/2022","46,700.0","46,650.0","47,200.0","46,250.0","12.98M","0.65%"
"22/02/2022","46,400.0","46,300.0","46,600.0","45,700.0","17.67M","-0.54%"
"21/02/2022","46,650.0","47,100.0","47,500.0","46,550.0","12.18M","-0.85%"
"18/02/2022","47,050.0","46,200.0","47,650.0","46,050.0","21.38M","1.18%"
"17/02/2022","46,500.0","46,000.0","46,750.0","46,000.0","11.35M","1.09%"
"16/02/2022","46,000.0","46,100.0","46,500.0","45,600.0","9.35M","0.00%"
"15/02/2022","46,000.0","46,200.0","46,550.0","45,400.0","15.56M","-0.43%"
"14/02/2022","46,200.0","46,500.0","47,500.0","46,150.0","18.25M","-2.01%"
"11/02/2022","47,150.0","46,600.0","47,500.0","46,300.0","17.34M","0.32%"
"10/02/2022","47,000.0","47,400.0","47,900.0","46,700.0","23.60M","-0.63%"
"09/02/2022","47,300.0","45,800.0","48,300.0","45,700.0","40.30M","3.84%"
"08/02/2022","45,550.0","43,000.0","45,550.0","43,000.0","26.53M","5.81%"
"07/02/2022","43,050.0","42,800.0","43,700.0","41,800.0","16.61M","2.01%"
"28/01/2022","42,200.0","42,250.0","42,800.0","41,700.0","14.94M","0.12%"
"27/01/2022","42,150.0","43,200.0","43,500.0","42,000.0","14.70M","-2.99%"
"26/01/2022","43,450.0","43,500.0","44,450.0","43,450.0","15.21M","0.46%"
"25/01/2022","43,250.0","40,500.0","43,300.0","40,200.0","17.89M","6.27%"
"24/01/2022","40,700.0","43,100.0","43,200.0","40,700.0","29.43M","-6.00%"
"21/01/2022","43,300.0","44,000.0","44,450.0","43,100.0","16.28M","-1.59%"
"20/01/2022","44,000.0","43,800.0","44,200.0","43,300.0","14.67M","1.15%"
"19/01/2022","43,500.0","44,400.0","44,550.0","43,450.0","17.71M","-1.14%"
"18/01/2022","44,000.0","44,500.0","45,250.0","43,000.0","21.44M","-1.57%"
"17/01/2022","44,700.0","46,250.0","46,500.0","44,700.0","21.66M","-3.35%"
"14/01/2022","46,250.0","46,500.0","46,850.0","46,200.0","7.90M","-0.96%"
"13/01/2022","46,700.0","46,300.0","47,300.0","46,200.0","24.99M","1.08%"
"12/01/2022","46,200.0","45,200.0","46,250.0","45,150.0","14.69M","2.44%"
"11/01/2022","45,100.0","46,050.0","46,050.0","45,100.0","12.76M","-1.20%"
"10/01/2022","45,650.0","45,850.0","46,650.0","45,500.0","17.48M","-0.33%"
"07/01/2022","45,800.0","46,100.0","46,200.0","45,650.0","16.34M","-0.65%"
"06/01/2022","46,100.0","46,500.0","46,700.0","46,100.0","17.17M","-1.50%"
"05/01/2022","46,800.0","46,900.0","47,350.0","46,800.0","18.76M","0.11%"
"04/01/2022","46,750.0","46,800.0","47,200.0","46,600.0","20.10M","0.75%"
